antecedents_str,consequents_str,support,confidence,lift,kulczynski,cosine,all_confidence
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.024006272995958745,0.42887931034482757,8.989115153232486,0.4660199333013645,0.4645375682984193,0.42887931034482757
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.024006272995958745,0.5031605562579015,8.989115153232486,0.4660199333013645,0.4645375682984193,0.42887931034482757
LUNCH BAG PINK POLKADOT,LUNCH BAG CARS BLUE,0.023885638458290608,0.4669811320754717,8.77786869464767,0.4579803619561032,0.4578919065398531,0.4489795918367347
LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,0.023885638458290608,0.4489795918367347,8.77786869464767,0.4579803619561032,0.4578919065398531,0.4489795918367347
LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,0.0266602328246577,0.5212264150943396,8.676117204667728,0.4825007577479731,0.48094418043101417,0.44377510040160645
LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,0.0266602328246577,0.44377510040160645,8.676117204667728,0.4825007577479731,0.48094418043101417,0.44377510040160645
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.028409433620845647,0.5554245283018868,8.221770763140162,0.48798012129380053,0.48329685571213876,0.42053571428571423
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.028409433620845647,0.42053571428571423,8.22177076314016,0.48798012129380053,0.48329685571213876,0.42053571428571423
LUNCH BAG CARS BLUE,LUNCH BAG SUKI DESIGN,0.021895168586766392,0.41156462585034015,8.16187790905836,0.4228875760830648,0.4227359610956195,0.41156462585034015
LUNCH BAG SUKI DESIGN,LUNCH BAG CARS BLUE,0.021895168586766392,0.4342105263157895,8.16187790905836,0.4228875760830648,0.4227359610956195,0.41156462585034015
LUNCH BAG WOODLAND,LUNCH BAG RED RETROSPOT,0.02195548585560046,0.5400593471810089,7.994324925816024,0.4325296735905044,0.41895022118842223,0.325
LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,0.02195548585560046,0.325,7.994324925816024,0.4325296735905044,0.41895022118842223,0.325
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI DESIGN,0.020990409554255383,0.3986254295532646,7.905276311678915,0.4074466860684983,0.40735118438724816,0.3986254295532646
LUNCH BAG SUKI DESIGN,LUNCH BAG SPACEBOY DESIGN,0.020990409554255383,0.416267942583732,7.905276311678915,0.4074466860684983,0.40735118438724816,0.3986254295532646
LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI DESIGN,0.023704686651788407,0.39457831325301207,7.825016573470918,0.4323370035164582,0.430684996162136,0.39457831325301207
LUNCH BAG SUKI DESIGN,LUNCH BAG  BLACK SKULL.,0.023704686651788407,0.4700956937799043,7.825016573470917,0.4323370035164582,0.430684996162136,0.39457831325301207
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG CARS BLUE,0.021895168586766392,0.41580756013745707,7.8159563940123595,0.4136860929938986,0.413680653298792,0.41156462585034015
LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,0.021895168586766392,0.41156462585034015,7.815956394012359,0.4136860929938986,0.413680653298792,0.41156462585034015
LUNCH BAG PINK POLKADOT,LUNCH BAG SUKI DESIGN,0.020085650521744377,0.39268867924528306,7.78754259953056,0.39550701904847885,0.39549697733025413,0.39268867924528306
LUNCH BAG SUKI DESIGN,LUNCH BAG PINK POLKADOT,0.020085650521744377,0.39832535885167464,7.787542599530559,0.39550701904847885,0.39549697733025413,0.39268867924528306
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,0.024247542071295012,0.4036144578313253,7.586762014042566,0.42969838537824767,0.4289059700218685,0.4036144578313253
LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL.,0.024247542071295012,0.4557823129251701,7.586762014042565,0.42969838537824767,0.4289059700218685,0.4036144578313253
LUNCH BAG PINK POLKADOT,LUNCH BAG SPACEBOY DESIGN,0.020145967790578444,0.39386792452830194,7.479881237977913,0.3882283494348268,0.3881873858044012,0.3825887743413517
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG PINK POLKADOT,0.020145967790578444,0.3825887743413517,7.479881237977913,0.3882283494348268,0.3881873858044012,0.3825887743413517
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG  BLACK SKULL.,0.02346341757645214,0.44558991981672397,7.417103695423159,0.41807608440635396,0.41716975107689663,0.39056224899598396
LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,0.02346341757645214,0.39056224899598396,7.417103695423159,0.41807608440635396,0.41716975107689663,0.39056224899598396
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,0.02382532118945654,0.27297857636489287,7.276064015359419,0.45401340393807343,0.41635869411000054,0.27297857636489287
JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.02382532118945654,0.635048231511254,7.276064015359419,0.45401340393807343,0.41635869411000054,0.27297857636489287
LUNCH BAG SUKI DESIGN,LUNCH BAG RED RETROSPOT,0.02473008022196755,0.4904306220095694,7.2596868591934385,0.42825102529049897,0.4237129198103562,0.36607142857142855
LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,0.02473008022196755,0.36607142857142855,7.259686859193438,0.42825102529049897,0.4237129198103562,0.36607142857142855
LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,0.029193558115688523,0.43214285714285716,7.1932695065978205,0.4590433161216294,0.45825443956679085,0.43214285714285716
LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,0.029193558115688523,0.48594377510040165,7.1932695065978205,0.4590433161216294,0.45825443956679085,0.43214285714285716
JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.030520538030038,0.3496890117484451,7.139771090858955,0.48642086055402556,0.46680794241778556,0.3496890117484451
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.030520538030038,0.623152709359606,7.139771090858955,0.48642086055402556,0.46680794241778556,0.3496890117484451
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,0.02473008022196755,0.36607142857142855,6.952002536409752,0.4178581656030109,0.4146366848564356,0.36607142857142855
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG RED RETROSPOT,0.02473008022196755,0.46964490263459335,6.952002536409752,0.4178581656030109,0.4146366848564356,0.36607142857142855
LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,0.02491103202846975,0.46825396825396826,6.931412981859411,0.41850198412698414,0.41553417524152064,0.36874999999999997
LUNCH BAG RED RETROSPOT,LUNCH BAG CARS BLUE,0.02491103202846975,0.36874999999999997,6.93141298185941,0.41850198412698414,0.41553417524152064,0.36874999999999997
LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT,0.020085650521744377,0.44638069705093836,6.607629978935274,0.37185106281118346,0.36430556753074067,0.29732142857142857
LUNCH BAG RED RETROSPOT,LUNCH BAG APPLE DESIGN,0.020085650521744377,0.29732142857142857,6.6076299789352735,0.37185106281118346,0.36430556753074067,0.29732142857142857
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.024609445684299416,0.5666666666666668,6.492582354296246,0.4243146740382401,0.39972347041285217,0.2819626814098134
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,0.024609445684299416,0.2819626814098134,6.492582354296245,0.4243146740382401,0.39972347041285217,0.2819626814098134
JUMBO BAG RED RETROSPOT,JUMBO  BAG BAROQUE BLACK WHITE,0.020930092285421316,0.23980649619903247,6.351041374574696,0.39705979762028304,0.3645927619665226,0.23980649619903247
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,0.020930092285421316,0.5543130990415336,6.351041374574696,0.39705979762028304,0.3645927619665226,0.23980649619903247
ROSES REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.021231678629591653,0.5191740412979352,6.104529383459907,0.3844097156844286,0.36001306372758196,0.249645390070922
REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER,0.021231678629591653,0.249645390070922,6.104529383459906,0.3844097156844286,0.36001306372758196,0.249645390070922
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.02581579106098076,0.6666666666666667,5.866595895258317,0.4469214437367304,0.38916682010571774,0.22717622080679406
WHITE HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,0.02581579106098076,0.22717622080679406,5.866595895258316,0.4469214437367304,0.38916682010571774,0.22717622080679406
JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,0.022498341275107064,0.25777470628887356,5.705803545478283,0.3778860180309521,0.3582891505682056,0.25777470628887356
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,0.022498341275107064,0.4979973297730307,5.705803545478283,0.3778860180309521,0.3582891505682056,0.25777470628887356
PARTY BUNTING,SPOTTY BUNTING,0.02165389951143012,0.2782945736434108,5.081327903561793,0.33683451149130894,0.33170855251011083,0.2782945736434108
SPOTTY BUNTING,PARTY BUNTING,0.02165389951143012,0.39537444933920707,5.081327903561793,0.33683451149130894,0.33170855251011083,0.2782945736434108
JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,0.02273961035044333,0.2605390463026952,3.8566757577253425,0.298573094579919,0.29614068274837735,0.2605390463026952
LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,0.02273961035044333,0.3366071428571428,3.8566757577253425,0.298573094579919,0.29614068274837735,0.2605390463026952
